aX,aY,aZ,gX,gY,gZ
-0.174,0.263,0.440,51.524,45.305,6.707

0.384,-1.524,-0.875,-1100.793,-287.378,-400.305
0.328,-2.025,-0.554,-1077.134,-310.793,-394.573
0.273,-2.548,-0.088,-1064.024,-318.902,-377.988
0.218,-2.928,0.266,-1028.963,-327.317,-359.207
0.251,-3.148,0.540,-992.683,-331.098,-330.549
0.253,-3.360,0.989,-955.976,-347.317,-307.805
0.065,-3.595,1.783,-890.854,-339.390,-261.402
-0.162,-3.823,2.568,-799.756,-308.415,-211.829
-0.319,-3.479,3.171,-702.195,-251.646,-146.524
-0.416,-3.002,3.606,-632.744,-196.037,-88.598
-0.466,-2.342,4.000,-564.329,-128.171,-48.049
-0.464,-1.577,4.000,-499.390,-32.622,-23.110
-0.439,-0.914,3.659,-435.183,36.098,-9.207
-0.366,-0.376,3.241,-385.549,94.817,0.122
-0.314,-0.139,2.749,-339.268,148.537,-6.098
-0.210,-0.014,2.210,-299.939,200.488,-5.305
-0.083,0.157,1.480,-269.634,242.134,-10.610
0.052,0.116,0.821,-236.890,243.598,-29.634
0.167,-0.026,0.292,-226.463,238.659,-45.854
0.273,-0.156,-0.168,-220.366,235.427,-56.890
0.351,-0.186,-0.617,-217.134,213.902,-65.671
0.426,-0.284,-0.922,-218.780,179.878,-76.707
0.468,-0.537,-0.959,-216.707,145.488,-82.317
0.509,-0.680,-1.005,-209.817,138.841,-88.232
0.540,-0.770,-1.089,-199.512,128.476,-82.317
0.529,-0.850,-1.141,-187.256,120.549,-85.122
0.520,-0.897,-1.213,-171.890,106.524,-78.354
0.505,-0.965,-1.276,-164.878,102.134,-75.427
0.503,-0.975,-1.297,-151.159,87.195,-70.244
0.519,-1.036,-1.333,-140.244,76.402,-67.622
0.507,-1.145,-1.378,-124.634,70.732,-62.134
0.497,-1.250,-1.457,-104.268,63.171,-53.720
0.490,-1.263,-1.533,-81.402,43.659,-45.366
0.480,-1.301,-1.501,-54.207,21.951,-31.707
0.432,-1.319,-1.400,-12.134,-2.988,-16.646
0.388,-1.268,-1.235,27.927,-21.159,-6.890
0.320,-1.206,-1.075,67.744,-33.537,6.829
0.267,-1.156,-0.833,113.110,-41.646,14.634
0.254,-1.153,-0.586,165.915,-47.012,28.293
0.202,-1.187,-0.334,220.183,-40.854,42.988
0.161,-1.265,-0.158,278.963,-29.573,56.829
0.111,-1.373,-0.044,339.390,-18.720,67.073
0.083,-1.472,0.066,403.049,-12.317,85.305
0.069,-1.523,0.179,466.280,-4.146,100.732
0.061,-1.567,0.312,532.988,12.378,114.390
0.062,-1.636,0.435,602.317,23.537,133.293
0.086,-1.718,0.514,676.219,47.195,153.659
0.085,-1.848,0.498,748.963,64.390,172.195
0.099,-1.948,0.467,815.610,85.000,189.329
0.097,-1.916,0.338,874.268,96.890,210.427
0.137,-1.898,0.202,933.110,104.878,227.134
0.168,-1.911,0.058,987.134,109.146,239.939
0.102,-1.774,-0.103,1016.829,116.646,248.780
0.111,-1.754,-0.219,1057.744,108.598,258.902
0.028,-1.702,-0.328,1078.415,96.098,265.000
0.041,-1.588,-0.362,1097.927,85.488,265.610
0.040,-1.192,-0.286,1116.768,80.244,271.280
0.058,-1.006,-0.261,1132.012,65.976,269.146
0.077,-0.594,-0.115,1130.061,60.732,256.707
0.010,-0.220,-0.054,1132.805,44.695,228.293
-0.075,-0.078,0.081,1096.159,40.000,205.732
-0.143,-0.357,0.242,1071.646,31.890,186.646
-0.273,-0.617,0.418,1038.719,12.866,151.951
-0.271,-0.710,0.618,993.781,21.159,146.646
-0.224,-0.712,0.736,950.366,7.317,128.902
-0.196,-0.841,0.861,878.537,1.220,118.598
-0.238,-0.856,1.068,799.878,-14.756,100.793
-0.342,-0.917,1.318,725.610,-2.378,95.244
-0.389,-1.027,1.449,642.317,-4.268,81.402
-0.446,-1.127,1.591,543.049,7.256,74.207
-0.483,-1.254,1.764,446.951,7.134,72.439
-0.486,-1.347,1.918,340.915,17.805,59.390
-0.435,-1.389,2.052,224.878,32.378,55.610
-0.417,-1.399,2.111,113.659,46.890,53.049
-0.371,-1.356,2.046,5.183,69.207,51.463
-0.339,-1.210,1.907,-81.951,83.110,49.817
-0.315,-1.067,1.725,-162.439,95.244,45.976
-0.287,-0.898,1.466,-228.963,105.793,51.463
-0.275,-0.658,1.189,-272.927,105.000,50.915
-0.250,-0.481,0.974,-305.549,109.695,58.659
-0.235,-0.239,0.768,-326.463,111.341,61.585
-0.202,0.058,0.564,-330.976,103.171,61.768
-0.166,0.361,0.404,-334.390,92.134,59.878
-0.142,0.578,0.327,-327.195,70.610,55.000
-0.233,0.722,0.274,-317.805,65.427,52.256
