aX,aY,aZ,gX,gY,gZ
-2.444,2.387,-0.524,-184.268,-295.976,-121.280
-2.412,2.428,-0.584,-192.988,-312.439,-121.220
-2.463,2.432,-0.646,-206.098,-321.280,-120.244
-2.420,2.423,-0.761,-221.159,-336.220,-113.902
-2.385,2.417,-0.871,-231.220,-353.598,-105.671
-2.364,2.438,-0.926,-248.110,-368.354,-96.524
-2.348,2.394,-1.192,-276.341,-400.549,-75.427
-2.244,2.329,-1.413,-308.659,-420.976,-42.500
-2.093,2.204,-1.738,-341.890,-447.927,1.280
-1.930,2.022,-1.918,-377.439,-471.341,39.207
-1.703,1.754,-2.170,-408.598,-493.963,85.976
-1.431,1.451,-2.416,-442.012,-515.610,122.927
-1.166,1.104,-2.649,-469.756,-533.476,161.951
-0.896,0.786,-2.869,-497.378,-547.988,182.866
-0.501,0.476,-3.060,-524.817,-562.988,202.622
-0.126,0.156,-3.246,-550.244,-572.317,207.744
0.323,-0.196,-3.387,-568.293,-586.402,188.720
0.807,-0.568,-3.435,-584.329,-588.598,151.768
1.278,-0.874,-3.311,-590.122,-589.634,94.329
1.626,-1.182,-3.245,-589.451,-584.451,21.585
1.936,-1.416,-3.065,-580.976,-578.841,-74.268
2.366,-1.812,-2.868,-564.207,-578.049,-181.037
2.539,-2.212,-2.586,-526.098,-565.976,-295.183
2.965,-2.241,-2.385,-489.878,-539.695,-399.573
3.225,-2.374,-2.265,-444.756,-523.841,-502.134
3.432,-2.456,-1.973,-401.951,-510.122,-596.951
3.650,-2.417,-1.639,-350.183,-505.427,-681.646
3.895,-2.373,-1.275,-303.049,-489.512,-758.476
4.000,-2.150,-0.708,-251.951,-471.524,-819.817
4.000,-1.892,-0.389,-202.195,-442.012,-875.732
4.000,-1.562,-0.496,-152.256,-422.073,-908.659
4.000,-1.158,-0.361,-108.659,-404.451,-920.122
4.000,-1.249,0.118,-74.207,-370.366,-888.171
4.000,-0.660,-0.259,-47.317,-320.488,-798.049
4.000,-0.429,-0.114,-37.378,-274.268,-665.061
3.984,-0.335,-0.153,-33.293,-243.293,-493.720
3.874,-0.130,0.009,-35.000,-207.927,-302.561
3.593,-0.040,0.090,-39.512,-165.122,-113.720
3.465,-0.040,0.112,-44.207,-132.256,67.195
3.258,-0.052,0.137,-48.415,-107.195,225.061
2.948,-0.055,0.205,-56.890,-80.915,355.915
2.662,-0.045,0.310,-67.012,-54.207,456.829
2.396,-0.062,0.305,-73.049,-40.549,524.146
2.054,-0.045,0.299,-82.073,-34.451,555.061
1.772,0.009,0.302,-85.366,-33.659,545.854
1.547,0.013,0.285,-91.037,-29.817,516.951
1.323,0.033,0.222,-93.902,-31.402,459.024
1.133,0.022,0.195,-95.061,-38.415,380.366
1.030,0.000,0.188,-96.402,-43.415,297.805
0.956,-0.068,0.172,-95.732,-50.610,209.329
0.981,-0.165,0.146,-96.341,-61.037,115.183
0.953,-0.243,0.144,-97.317,-69.207,40.427
1.002,-0.306,0.135,-101.098,-66.402,-28.659
1.037,-0.350,0.120,-96.463,-79.451,-71.951
1.100,-0.445,0.146,-103.841,-88.476,-100.671
1.183,-0.542,0.161,-100.671,-98.110,-119.390
1.340,-0.647,0.203,-98.537,-96.098,-114.756
1.497,-0.707,0.197,-98.354,-94.451,-93.780
1.625,-0.763,0.219,-95.427,-93.902,-70.610
1.750,-0.817,0.241,-96.098,-92.134,-33.537
1.846,-0.861,0.256,-93.415,-84.024,3.110
1.949,-0.881,0.293,-95.549,-71.524,36.524
2.029,-0.889,0.306,-92.805,-62.012,71.037
2.068,-0.915,0.307,-92.805,-51.646,97.256
2.116,-0.953,0.307,-89.756,-40.244,121.707
2.117,-0.968,0.316,-88.537,-28.659,133.171
2.081,-0.993,0.328,-81.768,-16.402,143.902
2.054,-1.023,0.344,-77.317,-6.707,145.000
1.978,-1.044,0.353,-75.854,5.854,142.805
1.910,-1.054,0.355,-72.134,16.159,133.171
1.840,-1.074,0.374,-64.695,22.622,123.354
1.733,-1.102,0.430,-58.476,30.061,113.598
1.661,-1.127,0.405,-52.927,35.610,103.110
1.586,-1.124,0.347,-44.878,38.354,91.220
1.435,-1.086,0.348,-41.220,45.427,82.927
1.348,-1.083,0.342,-37.439,44.146,72.500
1.267,-1.095,0.300,-32.012,47.683,61.585
1.132,-1.046,0.320,-23.963,49.207,53.659
1.015,-1.027,0.305,-23.476,49.573,44.573
0.960,-1.040,0.319,-16.524,45.183,36.402
0.888,-1.021,0.326,-14.634,44.939,27.561
0.806,-1.002,0.347,-10.488,43.841,23.415
0.732,-1.002,0.368,-4.817,44.573,21.098
0.697,-0.994,0.366,2.439,35.671,15.488
0.653,-0.959,0.366,4.146,34.146,12.439
0.625,-0.938,0.373,8.049,28.537,13.841
0.614,-0.908,0.376,12.012,28.537,11.037
0.589,-0.891,0.380,16.585,24.573,9.146
0.577,-0.841,0.384,18.476,20.366,1.829
0.558,-0.829,0.384,18.720,15.732,-2.805
0.579,-0.792,0.360,21.098,12.988,-4.817
0.578,-0.731,0.372,25.244,8.841,-12.500
0.587,-0.727,0.373,25.610,4.451,-16.037
0.607,-0.695,0.353,27.439,-1.890,-19.390
0.625,-0.646,0.343,27.683,0.793,-29.207
0.667,-0.628,0.327,27.988,-5.244,-29.695
0.711,-0.602,0.345,29.146,-9.573,-36.280
0.749,-0.599,0.362,25.183,-6.829,-41.890
0.810,-0.584,0.383,29.085,-14.329,-41.829
0.851,-0.565,0.407,29.573,-17.866,-50.671
0.915,-0.541,0.417,25.854,-15.732,-56.220
0.984,-0.502,0.442,28.415,-15.061,-52.256
1.042,-0.476,0.441,29.573,-17.134,-53.720
1.078,-0.457,0.405,25.244,-11.951,-53.232
1.112,-0.433,0.385,23.171,-8.963,-50.793
1.152,-0.417,0.367,23.110,-11.098,-47.195
1.179,-0.431,0.398,17.744,-4.878,-50.366
1.223,-0.440,0.428,18.476,-6.220,-48.415
1.253,-0.453,0.454,16.220,-1.159,-49.024
1.289,-0.462,0.455,18.415,-1.098,-51.890
