aX,aY,aZ,gX,gY,gZ
0.513,-0.587,0.827,-67.988,54.146,1217.439
0.492,-0.646,0.769,-66.951,58.780,1281.707
0.487,-0.664,0.682,-66.524,69.939,1344.634
0.501,-0.734,0.646,-65.000,65.976,1411.098
0.446,-0.725,0.615,-66.768,67.439,1471.402
0.406,-0.752,0.586,-60.305,68.598,1531.646
0.364,-0.723,0.569,-59.390,79.512,1581.098
0.420,-0.708,0.509,-54.024,78.598,1659.268
0.242,-0.750,0.530,-48.293,83.537,1731.037
0.195,-0.684,0.559,-35.549,84.451,1786.037
0.200,-0.530,0.654,-27.378,90.488,1821.037
0.104,-0.491,0.744,-24.146,100.183,1833.841
-0.089,-0.471,0.701,-23.598,87.256,1826.829
-0.072,-0.207,0.607,-22.439,67.805,1792.988
-0.289,-0.205,0.621,-16.707,50.854,1742.561
-0.106,-0.271,0.840,-9.573,42.012,1678.354
-0.097,-0.315,0.925,-5.793,54.268,1601.890
-0.019,-0.177,0.861,-1.951,49.695,1519.634
-0.122,-0.326,1.028,4.512,38.232,1422.378
-0.073,-0.234,1.023,10.671,42.988,1305.671
-0.068,-0.294,1.053,23.841,46.098,1177.012
-0.110,-0.206,1.074,29.756,52.622,1033.537
-0.102,-0.133,0.935,37.439,52.866,895.244
-0.223,-0.049,0.917,40.793,52.256,749.451
-0.244,0.040,0.902,48.537,51.768,602.012
-0.368,0.146,0.945,60.366,49.146,457.195
-0.428,0.244,0.924,60.488,47.683,314.512
-0.513,0.322,0.916,62.622,44.207,188.232
-0.580,0.393,0.904,58.171,40.854,68.841
-0.637,0.431,0.893,54.451,33.598,-31.524
-0.692,0.456,0.896,51.463,28.232,-113.598
-0.750,0.456,0.891,45.183,27.561,-179.207
-0.795,0.392,0.901,38.902,17.317,-222.683
-0.823,0.355,0.889,29.390,11.707,-251.098
-0.859,0.274,0.878,23.293,7.256,-269.268
-0.873,0.206,0.872,19.085,-4.817,-265.427
-0.882,0.130,0.852,13.354,-9.634,-257.988
-0.853,0.057,0.859,8.293,-14.085,-246.585
-0.863,0.003,0.872,3.902,-20.305,-232.134
-0.837,-0.051,0.881,1.280,-22.561,-222.866
-0.826,-0.078,0.889,4.329,-30.305,-207.439
-0.794,-0.111,0.904,1.768,-33.415,-202.988
-0.764,-0.136,0.900,2.805,-32.561,-201.951
-0.729,-0.151,0.901,4.146,-36.220,-205.488
-0.676,-0.179,0.921,7.012,-39.512,-213.476
-0.641,-0.191,0.925,10.549,-35.427,-229.146
-0.575,-0.213,0.929,15.305,-40.244,-243.841
-0.534,-0.200,0.914,19.329,-39.146,-265.183
-0.468,-0.226,0.926,21.890,-38.110,-290.183
-0.407,-0.227,0.932,24.878,-38.598,-311.280
-0.361,-0.214,0.930,30.549,-36.098,-338.232
-0.332,-0.225,0.928,28.598,-30.549,-365.427
-0.281,-0.222,0.936,35.549,-29.878,-398.110
-0.192,-0.244,0.903,36.707,-30.610,-429.512
-0.222,-0.236,0.914,39.207,-27.317,-462.500
-0.158,-0.198,0.895,44.268,-22.500,-491.280
-0.152,-0.186,0.872,45.244,-17.866,-519.695
-0.119,-0.199,0.860,46.341,-11.890,-545.732
-0.117,-0.171,0.884,46.524,-9.268,-562.561
-0.113,-0.195,0.859,45.793,-2.866,-576.585
-0.126,-0.218,0.891,45.000,0.244,-582.561
-0.156,-0.195,0.990,42.378,5.000,-589.695
-0.167,-0.130,1.013,38.963,13.720,-587.195
-0.136,-0.073,1.013,33.415,16.220,-586.037
-0.098,-0.132,0.940,28.354,21.951,-586.707
-0.168,-0.167,0.881,23.902,30.061,-590.427
-0.187,-0.076,0.787,18.963,27.561,-597.561
-0.203,-0.048,0.768,18.232,34.512,-601.646
-0.166,-0.116,0.705,13.110,38.232,-614.451
-0.174,-0.121,0.578,10.610,41.341,-627.622
-0.188,-0.100,0.605,7.012,35.488,-632.561
-0.171,-0.106,0.656,0.244,37.256,-639.024
-0.155,-0.150,0.710,-3.110,36.280,-639.573
-0.144,-0.189,0.673,-7.439,34.756,-638.598
-0.139,-0.228,0.646,-10.122,35.122,-634.146
-0.133,-0.259,0.650,-14.634,35.488,-633.598
-0.133,-0.280,0.666,-18.293,38.476,-627.805
-0.131,-0.309,0.675,-19.817,35.793,-615.488
-0.124,-0.326,0.678,-25.122,33.537,-606.951
-0.107,-0.354,0.665,-29.268,37.195,-599.634
-0.115,-0.360,0.692,-32.683,34.146,-590.244
-0.115,-0.357,0.675,-36.280,30.427,-581.037
-0.126,-0.353,0.637,-41.707,31.220,-576.341
-0.084,-0.378,0.644,-44.451,29.451,-566.281
-0.085,-0.388,0.611,-50.976,26.890,-562.073
-0.090,-0.423,0.634,-54.329,24.573,-561.829
-0.079,-0.455,0.653,-56.585,22.805,-561.159
-0.044,-0.493,0.746,-54.817,15.122,-563.354
-0.010,-0.518,0.742,-61.463,12.805,-569.207
-0.014,-0.541,0.718,-61.159,8.110,-576.281
-0.018,-0.562,0.768,-59.634,2.317,-584.695
0.015,-0.573,0.766,-59.268,-0.976,-585.915
0.053,-0.608,0.799,-57.439,-4.695,-586.890
0.086,-0.635,0.782,-59.878,-8.780,-587.561
0.101,-0.636,0.741,-58.902,-16.159,-586.707
0.126,-0.653,0.747,-59.756,-18.963,-583.537
0.165,-0.611,0.718,-57.378,-25.976,-578.719
0.174,-0.627,0.644,-53.780,-28.841,-571.341
0.227,-0.606,0.639,-54.146,-32.866,-563.049
0.228,-0.599,0.641,-50.793,-40.732,-552.134
0.253,-0.609,0.714,-46.585,-41.890,-539.085
0.303,-0.617,0.722,-43.354,-41.951,-523.354
0.317,-0.596,0.738,-41.524,-46.707,-504.695
0.369,-0.625,0.820,-38.780,-49.207,-486.280
0.368,-0.592,0.874,-37.866,-43.110,-469.329
0.414,-0.589,0.913,-32.012,-45.244,-445.549
0.439,-0.600,0.896,-30.610,-50.671,-418.049
0.461,-0.602,0.935,-28.963,-46.951,-392.378
0.474,-0.603,0.884,-30.000,-47.988,-362.683
0.522,-0.618,0.817,-27.134,-45.488,-330.549
0.532,-0.618,0.732,-27.561,-47.561,-302.317
0.518,-0.563,0.752,-22.622,-49.085,-272.195
0.564,-0.567,0.751,-22.256,-45.793,-243.171
0.580,-0.560,0.741,-21.402,-43.110,-220.061
0.629,-0.557,0.734,-19.817,-40.366,-199.695
0.605,-0.522,0.751,-15.549,-38.598,-183.780
0.609,-0.500,0.729,-18.902,-35.732,-167.927
0.593,-0.472,0.753,-17.378,-37.256,-158.232
0.620,-0.458,0.709,-10.915,-37.195,-145.854

-0.078,-0.411,0.806,-100.427,-91.220,1130.732
-0.087,-0.430,0.931,-99.939,-99.329,1178.659
-0.107,-0.408,0.998,-102.500,-104.268,1226.646
-0.129,-0.437,0.998,-110.793,-108.049,1265.549
-0.166,-0.423,1.059,-110.854,-111.280,1307.561
-0.146,-0.465,1.055,-120.305,-110.732,1340.183
-0.239,-0.488,0.967,-124.695,-120.854,1395.183
-0.306,-0.442,0.877,-135.610,-134.268,1444.634
-0.339,-0.371,0.839,-150.122,-145.122,1486.281
-0.348,-0.304,0.859,-163.049,-155.671,1518.293
-0.265,-0.252,0.671,-179.817,-157.317,1538.476
-0.228,-0.247,0.584,-197.622,-161.951,1535.671
-0.216,-0.256,0.515,-212.317,-165.671,1521.281
-0.058,-0.244,0.472,-222.622,-167.500,1481.219
