aX,aY,aZ,gX,gY,gZ
-0.603,0.171,0.943,-13.963,-16.707,65.549

-3.124,-2.057,-0.279,-151.524,-187.256,-69.939
-3.085,-2.235,-0.338,-141.220,-208.537,-64.695
-3.070,-2.371,-0.346,-131.829,-229.329,-57.927
-3.031,-2.501,-0.366,-128.659,-243.659,-52.439
-2.977,-2.630,-0.392,-119.451,-259.512,-46.280
-2.917,-2.755,-0.437,-108.110,-279.146,-34.268
-2.796,-2.912,-0.442,-92.561,-298.293,-19.512
-2.718,-3.208,-0.587,-70.244,-328.415,5.610
-2.625,-3.434,-0.594,-50.549,-355.549,25.427
-2.517,-3.625,-0.706,-32.256,-379.817,42.317
-2.354,-3.826,-0.790,-7.622,-411.402,63.598
-2.159,-3.858,-0.905,17.317,-429.146,80.549
-1.932,-4.000,-1.049,43.293,-459.695,99.146
-1.792,-4.000,-1.121,68.963,-485.854,114.756
-1.540,-4.000,-1.269,92.805,-504.634,138.171
-1.248,-4.000,-1.448,123.415,-530.244,148.780
-0.967,-4.000,-1.535,147.927,-552.134,168.902
-0.572,-3.923,-1.653,172.744,-574.878,190.976
-0.174,-3.772,-1.812,197.439,-596.951,202.317
0.197,-3.785,-1.938,222.622,-609.573,219.695
0.572,-3.424,-2.152,254.390,-617.073,225.976
1.004,-3.322,-2.232,265.305,-629.390,225.244
1.364,-3.138,-2.224,289.695,-632.866,226.098
1.844,-2.829,-2.309,309.634,-635.183,218.476
2.075,-2.861,-2.433,327.073,-631.159,204.634
2.531,-2.590,-2.456,348.049,-619.512,185.061
2.982,-2.474,-2.528,367.805,-619.512,157.683
3.331,-2.140,-2.496,390.488,-611.281,129.634
3.639,-1.959,-2.425,412.256,-588.354,91.037
3.958,-1.690,-2.432,434.512,-566.281,56.098
4.000,-1.457,-2.420,458.476,-551.159,13.902
4.000,-1.196,-2.517,484.817,-545.366,-31.098
4.000,-1.016,-2.207,508.720,-522.012,-86.159
4.000,-0.593,-2.029,531.219,-476.341,-145.915
4.000,-0.182,-1.744,555.000,-440.061,-210.488
4.000,0.423,-1.337,568.354,-390.244,-274.634
4.000,1.279,-1.391,580.061,-320.610,-309.939
4.000,2.272,-1.241,558.719,-195.305,-329.695
4.000,3.201,-0.728,532.073,-56.280,-320.732
4.000,3.622,-1.015,487.012,62.134,-284.451
4.000,3.979,-1.119,445.549,126.463,-228.293
4.000,4.000,-0.811,396.220,201.402,-153.049
4.000,4.000,-0.630,357.622,267.805,-68.659
4.000,4.000,-0.320,307.378,351.829,9.146
4.000,4.000,-0.315,269.451,412.805,72.134
4.000,3.983,-0.364,236.463,460.976,110.976
4.000,3.789,-0.385,213.537,500.061,132.683
4.000,3.635,-0.589,186.707,501.463,123.780
3.464,3.506,-0.477,165.671,510.732,94.756
3.029,3.430,-0.492,145.915,535.915,46.890
2.359,3.333,-0.479,126.829,555.122,-3.720
2.004,3.296,-0.514,106.341,587.622,-49.451
1.352,3.332,-0.647,80.183,592.988,-89.817
0.544,3.257,-0.754,48.110,592.317,-110.854
-0.109,3.279,-0.829,14.817,579.756,-112.500
-0.729,3.247,-0.855,-14.878,552.805,-93.415
-1.224,3.167,-0.826,-46.707,524.268,-58.780
-1.528,3.132,-0.762,-75.793,493.841,-20.732
-1.671,3.057,-0.700,-105.610,464.634,16.646
-1.785,2.959,-0.602,-129.634,442.805,52.439
-1.897,2.840,-0.509,-153.171,431.829,72.988
-1.952,2.684,-0.479,-177.988,423.902,77.622
-2.049,2.441,-0.424,-197.195,409.146,69.756
-2.109,2.282,-0.401,-212.561,390.793,35.427
-2.128,2.144,-0.417,-224.573,372.622,-11.341
-2.136,2.009,-0.486,-239.939,356.159,-78.476
-2.064,1.838,-0.555,-250.793,340.610,-158.171
-2.008,1.638,-0.672,-262.805,318.476,-243.171
-1.930,1.407,-0.724,-280.915,300.305,-335.122
-1.842,1.140,-0.783,-293.415,277.561,-413.841
-1.737,0.849,-0.867,-307.378,252.927,-489.207
-1.652,0.530,-0.903,-318.232,229.390,-539.268
-1.579,0.221,-0.890,-328.963,207.439,-574.695
-1.539,-0.073,-0.886,-336.829,183.171,-575.122
-1.516,-0.357,-0.861,-346.341,162.378,-554.390
-1.529,-0.683,-0.828,-350.976,134.939,-505.671
-1.501,-0.934,-0.803,-353.720,114.817,-434.390
-1.496,-1.229,-0.736,-357.012,97.012,-343.293
-1.549,-1.426,-0.901,-356.646,94.207,-254.817
-1.389,-1.654,-0.571,-350.427,71.159,-160.366
-1.645,-1.846,-0.456,-339.756,61.951,-72.012
-1.636,-1.933,-0.416,-329.573,57.500,2.134
-1.694,-2.063,-0.409,-315.976,51.159,62.256
-1.806,-2.138,-0.377,-301.890,45.427,101.585
-1.833,-2.146,-0.290,-283.780,36.829,127.622
-1.876,-2.205,-0.216,-262.561,25.183,125.732
-1.988,-2.169,-0.204,-245.305,14.878,106.646
-1.976,-2.126,-0.148,-223.780,8.110,76.707
-1.939,-2.145,-0.117,-204.085,-11.646,34.695
-1.935,-2.153,-0.022,-181.280,-30.488,-21.220
-1.853,-2.115,0.084,-157.378,-43.841,-75.732
-1.690,-2.140,0.095,-138.902,-59.085,-132.988
-1.603,-2.138,0.195,-120.305,-77.195,-185.488
-1.471,-2.129,0.290,-97.805,-86.098,-226.159
-1.293,-2.117,0.323,-80.305,-100.610,-247.805
-1.177,-2.086,0.370,-66.646,-109.146,-251.768
-1.052,-2.083,0.411,-48.293,-119.024,-233.110
-0.935,-2.097,0.441,-36.098,-126.159,-196.280
-0.854,-2.138,0.477,-27.927,-131.829,-147.256
-0.780,-2.146,0.501,-16.890,-137.012,-82.378
-0.726,-2.152,0.528,-7.195,-140.427,-15.732
-0.678,-2.152,0.551,2.073,-143.293,47.134
-0.634,-2.123,0.545,11.037,-149.390,101.768
-0.573,-2.059,0.544,17.988,-152.500,146.585
-0.494,-1.977,0.546,32.378,-161.402,178.415
-0.413,-1.865,0.537,42.805,-167.927,190.000
-0.302,-1.725,0.534,51.646,-172.317,185.854
-0.170,-1.580,0.546,65.366,-181.220,170.671
-0.022,-1.431,0.556,73.780,-182.805,140.610
0.140,-1.283,0.560,80.671,-181.951,103.476
0.274,-1.157,0.595,90.366,-184.085,63.415
0.430,-1.020,0.617,93.354,-176.585,20.366
0.427,-0.969,0.565,102.134,-172.622,-19.573
0.706,-0.856,0.729,107.378,-159.390,-51.098
0.767,-0.744,0.707,111.951,-152.988,-77.012
0.845,-0.639,0.720,112.317,-137.683,-97.927
0.895,-0.563,0.743,119.146,-126.463,-106.707
0.893,-0.514,0.764,117.744,-113.476,-105.854
0.909,-0.459,0.799,116.463,-100.061,-95.610

1.562,-2.697,-1.127,320.305,-375.610,365.732
1.729,-2.718,-1.158,325.061,-375.488,372.378
1.908,-2.732,-1.237,335.244,-383.354,380.366
1.992,-2.838,-1.169,345.549,-377.683,384.451
2.025,-2.654,-1.233,357.012,-382.622,387.744
2.184,-2.586,-1.201,361.524,-380.305,384.207
2.348,-2.616,-1.342,369.207,-380.000,382.317
2.589,-2.597,-1.296,391.463,-373.598,369.390
2.752,-2.560,-1.357,411.341,-359.695,349.024
2.928,-2.561,-1.406,426.463,-349.451,320.427
3.058,-2.430,-1.451,449.390,-340.549,294.573
3.126,-2.175,-1.537,471.159,-326.280,261.707
3.294,-1.873,-1.694,491.524,-311.890,230.549
3.393,-1.582,-1.854,508.841,-303.476,207.622
3.504,-1.281,-1.821,519.024,-288.841,184.024
3.664,-0.988,-1.849,530.732,-268.780,172.744
3.751,-0.744,-1.910,540.061,-253.232,169.634
3.871,-0.522,-1.870,544.024,-232.195,165.732
4.000,-0.376,-1.919,547.012,-207.988,167.378
4.000,-0.260,-1.922,552.805,-178.780,169.573
4.000,-0.206,-1.937,557.378,-157.378,166.829
4.000,-0.106,-1.937,563.415,-133.902,160.732
4.000,-0.037,-1.951,566.463,-106.220,155.793
4.000,0.016,-2.062,571.463,-71.037,145.244
4.000,0.039,-2.082,578.841,-49.085,135.244
4.000,0.092,-2.106,592.134,-24.085,126.159
4.000,0.153,-2.178,598.963,-2.073,115.122
4.000,0.270,-2.212,608.902,28.841,103.354
4.000,0.307,-2.402,618.415,53.354,96.220
4.000,0.484,-2.497,623.476,82.866,95.305
4.000,0.584,-2.627,628.781,108.659,93.720
4.000,0.692,-2.704,632.927,137.073,93.171
4.000,0.833,-2.850,637.500,165.610,93.171
4.000,0.994,-2.971,644.024,192.256,81.037
3.971,1.214,-3.069,650.549,214.939,79.634
3.890,1.497,-3.111,655.610,230.122,68.110
3.871,1.881,-3.054,660.610,246.098,62.927
3.832,2.356,-2.960,656.585,269.695,54.939
3.852,2.833,-2.850,648.171,292.744,46.037
3.723,3.327,-2.821,632.134,325.610,31.646
3.846,3.775,-2.823,612.500,353.780,9.695
3.834,4.000,-2.829,587.378,381.829,-24.451
3.756,4.000,-2.461,552.561,412.073,-65.305
3.582,4.000,-2.034,534.512,438.415,-114.024
3.486,4.000,-2.582,477.988,484.939,-176.951
3.482,4.000,-2.654,424.085,535.488,-247.012
3.339,4.000,-2.663,364.756,569.634,-316.585
2.957,4.000,-2.858,287.622,607.866,-395.244
2.465,4.000,-2.831,209.695,630.915,-471.098
2.073,4.000,-2.869,135.610,653.598,-544.878
1.651,4.000,-2.990,50.183,668.719,-610.671
1.279,4.000,-2.994,-26.463,663.354,-656.463
0.617,4.000,-2.851,-94.390,669.634,-686.890
0.095,4.000,-2.769,-162.866,675.732,-687.805
-0.413,4.000,-2.851,-220.427,666.402,-664.024
-0.964,4.000,-2.838,-275.549,640.427,-611.098
-1.559,3.645,-2.869,-326.159,618.902,-538.598
-2.205,3.374,-2.854,-375.061,608.537,-460.061
-2.708,2.886,-3.007,-413.415,575.671,-376.768
-3.203,2.663,-3.176,-447.073,541.402,-303.598
-3.823,2.334,-3.101,-472.012,511.829,-236.037
-4.000,1.921,-3.013,-492.195,477.805,-185.915
-4.000,1.492,-2.992,-505.793,425.976,-141.646
-4.000,1.106,-3.056,-516.585,374.634,-111.159
-4.000,0.584,-2.871,-514.085,317.988,-84.817
-4.000,0.144,-2.731,-507.500,252.378,-70.366
-4.000,-0.185,-2.574,-497.073,192.134,-65.427
-4.000,-0.789,-2.367,-484.573,136.829,-67.378
-4.000,-1.105,-1.984,-465.732,84.268,-73.171
-4.000,-1.378,-1.728,-440.488,38.659,-89.756
-4.000,-1.561,-1.497,-418.537,2.744,-112.622
-4.000,-1.679,-1.350,-393.841,-34.268,-140.122
-4.000,-1.754,-1.280,-368.354,-81.280,-172.683
-4.000,-1.718,-1.203,-338.110,-121.037,-210.915
-4.000,-1.543,-1.168,-310.854,-158.598,-254.451
-4.000,-1.474,-1.185,-286.829,-201.585,-303.476
-3.738,-1.120,-1.103,-261.220,-231.037,-357.622
-3.221,-0.799,-1.149,-232.805,-256.951,-407.927
-2.851,-0.465,-1.193,-216.646,-279.329,-455.122
-2.572,-0.200,-1.202,-201.159,-300.122,-499.451
-2.253,-0.052,-1.234,-193.659,-321.463,-522.683
-2.019,0.028,-1.265,-178.232,-344.878,-525.183
-1.786,0.116,-1.309,-171.707,-366.463,-509.207
-1.648,0.157,-1.327,-170.549,-380.671,-471.829
-1.467,0.148,-1.382,-167.866,-397.683,-416.585
-1.305,0.112,-1.407,-169.024,-412.195,-342.439
-1.157,0.063,-1.408,-168.720,-428.415,-254.329
-0.988,-0.035,-1.470,-174.695,-442.683,-158.232
-0.816,-0.143,-1.491,-183.049,-447.927,-59.451
-0.664,-0.239,-1.500,-186.768,-456.463,29.390
-0.497,-0.321,-1.464,-196.768,-457.622,111.585
-0.356,-0.345,-1.412,-205.061,-460.488,187.439
-0.177,-0.570,-1.405,-214.024,-451.463,251.037
-0.052,-0.820,-1.348,-222.134,-450.061,297.073
0.078,-0.982,-1.262,-229.634,-446.707,329.878
0.270,-1.084,-1.058,-235.488,-437.927,352.500
0.381,-1.224,-0.837,-237.012,-433.902,358.476
0.541,-1.331,-0.923,-241.707,-419.634,360.122
0.649,-1.380,-0.938,-243.963,-399.634,356.768
0.801,-1.523,-0.950,-247.195,-388.963,343.110
0.844,-1.645,-0.837,-242.195,-377.256,320.305
0.945,-1.673,-0.772,-239.390,-356.890,286.646
1.015,-1.794,-0.640,-233.293,-343.293,246.890
1.083,-1.903,-0.496,-222.073,-333.415,201.402
1.145,-2.010,-0.367,-209.329,-319.756,152.988
1.183,-2.124,-0.203,-187.195,-304.939,101.220
1.230,-2.193,-0.025,-171.037,-289.024,50.366
1.263,-2.231,0.085,-146.341,-279.268,1.098
1.302,-2.242,0.208,-125.488,-268.841,-38.049
1.341,-2.260,0.278,-99.817,-258.720,-74.146
1.387,-2.232,0.362,-81.463,-246.707,-103.293
1.406,-2.188,0.397,-57.012,-231.037,-121.768
1.331,-2.076,0.440,-34.268,-221.951,-129.634
1.407,-2.050,0.486,-18.110,-211.646,-129.634
1.381,-1.971,0.517,-1.037,-201.220,-118.110
1.372,-1.859,0.555,13.780,-188.963,-95.244
1.167,-1.917,0.500,23.598,-179.878,-69.939
1.316,-1.592,0.609,36.951,-173.841,-46.220
1.298,-1.492,0.554,44.024,-159.573,-16.829

-1.262,3.029,-1.213,-246.646,361.524,259.756
-1.406,3.103,-1.256,-253.476,360.488,250.305
-1.479,3.171,-1.292,-267.744,359.024,241.159
-1.551,3.192,-1.351,-275.183,360.122,231.402
-1.564,3.229,-1.377,-289.939,358.841,217.317
-1.684,3.292,-1.403,-298.293,355.122,199.634
-1.823,3.360,-1.436,-315.976,354.817,179.817
-1.920,3.407,-1.562,-334.817,351.646,143.659
-2.045,3.415,-1.648,-358.293,341.951,111.341
-2.231,3.403,-1.725,-383.110,327.622,74.512
-2.408,3.371,-1.853,-405.976,319.268,35.366
